MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,MEMBER_MARITAL_STATUS_embed_dim_0,MEMBER_MARITAL_STATUS_embed_dim_1,MEMBER_MARITAL_STATUS_embed_dim_2,MEMBER_GENDER_embed_dim_0,MEMBER_GENDER_embed_dim_1,MEMBERSHIP_PACKAGE_embed_dim_0,MEMBERSHIP_PACKAGE_embed_dim_1,PAYMENT_MODE_embed_dim_0,PAYMENT_MODE_embed_dim_1,PAYMENT_MODE_embed_dim_2
78.0,101515.2,549996.0,1.0,59.0,0.0,2,0.1845744332686056,965,2011,5,12,118649.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355
12.0,120000.0,499992.0,1.0,76.0,0.0,3,0.240003840061441,933,2011,6,13,152836.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
12.0,100000.0,999996.0,1.0,45.0,3.0,0,0.1000004000016,1041,2011,2,25,90495.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
68.0,100514.82,1299996.0,1.0,36.0,1.0,3,0.07731933021332374,1007,2011,3,31,72396.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
49.0,100000.0,699996.0,1.0,45.0,3.0,0,0.1428579591883382,1220,2010,8,30,90450.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
87.0,141052.76,175548.0,2.0,45.0,0.0,2,0.8034996696060337,370,2012,12,27,90540.0,0.10369337,-0.9288311,-0.015264446,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
22.0,103090.0,399996.0,2.0,44.0,3.0,0,0.2577275772757728,96,2013,9,27,88572.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562
30.0,100000.0,549996.0,1.0,55.0,2.0,0,0.1818195041418483,1624,2009,7,22,110495.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562
17.0,100000.0,120000.0,1.0,47.0,2.0,0,0.8333333333333334,1737,2009,3,31,94423.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355
12.0,100000.8,600000.0,2.0,34.0,1.0,0,0.166668,492,2012,8,27,68408.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279
