MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,MEMBER_MARITAL_STATUS_embed_dim_0,MEMBER_MARITAL_STATUS_embed_dim_1,MEMBER_MARITAL_STATUS_embed_dim_2,MEMBER_GENDER_embed_dim_0,MEMBER_GENDER_embed_dim_1,MEMBERSHIP_PACKAGE_embed_dim_0,MEMBERSHIP_PACKAGE_embed_dim_1,PAYMENT_MODE_embed_dim_0,PAYMENT_MODE_embed_dim_1,PAYMENT_MODE_embed_dim_2,y_pred,y_proba,TARGET
68.0,110979.48,499992.0,2.0,37.0,2.0,0,0.2219625114001824,277,2013,3,30,74481.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.010787260255013335,0
55.0,120000.96,450000.0,1.0,28.0,0.0,1,0.2666688,1804,2009,1,23,56252.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279,0,0.42043921840641646,0
39.0,103375.0,499992.0,1.0,36.0,3.0,0,0.2067533080529288,1618,2009,7,28,72324.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.294160387812025,0
17.0,108851.46,900000.0,1.0,35.0,2.0,3,0.1209460666666666,187,2013,6,28,70455.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.0030871976615758955,0
12.0,500000.0,2499996.0,1.0,44.0,0.0,1,0.200000320000512,674,2012,2,27,88528.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,1,0.6204060136882648,1
27.0,100000.0,942000.0,1.0,28.0,1.0,1,0.1061571125265392,1251,2010,7,30,56280.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.35275785083340433,1
12.0,240001.92,1200000.0,2.0,33.0,2.0,3,0.2000016,309,2013,2,26,66429.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,0.7439208,0.82596856,-0.5151279,0,0.30140561349276196,1
27.0,103089.97,2153064.0,2.0,61.0,0.0,1,0.0478805878506166,187,2013,6,28,122793.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.008152490422951604,0
17.0,100000.0,549996.0,1.0,66.0,2.0,2,0.1818195041418483,1763,2009,3,5,132594.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355,0,0.2942620755781013,0
17.0,100000.0,399996.0,1.0,39.0,3.0,2,0.2500025000250002,1737,2009,3,31,78351.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355,0,0.3788119094503983,0
23.0,100000.0,549996.0,6.0,75.0,1.0,2,0.1818195041418483,1281,2010,6,30,150750.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.29743822822992305,0
17.0,133829.04,499992.0,1.0,61.0,2.0,3,0.2676623625978016,232,2013,5,14,122793.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279,0,0.048552338414401805,0
12.0,250000.0,450000.0,2.0,42.0,3.0,1,0.5555555555555556,665,2012,3,7,84504.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,1,0.735091543710123,1
17.0,100000.0,549996.0,1.0,45.0,0.0,1,0.1818195041418483,2193,2007,12,31,90315.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355,0,0.370941521728238,0
32.0,119998.32,600000.0,2.0,24.0,0.0,1,0.1999972,775,2011,11,18,48264.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279,0,0.495154541783499,0
54.0,600001.16,2250000.0,2.0,51.0,3.0,2,0.2666671822222222,276,2013,3,31,102663.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.010892194379226465,0
12.0,999999.98,6600000.0,1.0,50.0,3.0,0,0.1515151484848484,642,2012,3,30,100600.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355,0,0.4055924762794265,0
27.0,125000.0,302616.0,1.0,44.0,1.0,2,0.4130647421154202,1219,2010,8,31,88440.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.3902019595095766,1
70.0,200000.0,549996.0,1.0,55.0,0.0,1,0.3636390082836966,1230,2010,8,20,110550.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.3428933032054748,0
12.0,199999.99,499992.0,1.0,54.0,1.0,1,0.4000063801020816,660,2012,3,12,108648.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,1,0.6982075616611848,0
97.0,101550.0,1200000.0,1.0,48.0,0.0,1,0.084625,642,2012,3,30,96576.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.2157227367698464,0
74.0,100000.0,549996.0,1.0,48.0,0.0,2,0.1818195041418483,1374,2010,3,29,96480.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-1.0827601,2.725196,0.9714355,0,0.3616168916804026,1
12.0,199999.99,1399992.0,1.0,59.0,3.0,1,0.1428579520454402,642,2012,3,30,118708.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,1,0.5883137016970096,1
60.0,103090.45,399996.0,2.0,45.0,3.0,3,0.2577287022870229,127,2013,8,27,90585.0,-0.44509146,1.5352405,-0.8534257,1.1197833,-0.9323207,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.00676139829757675,0
41.0,100000.0,3000000.0,1.0,53.0,2.0,1,0.0333333333333333,1227,2010,8,23,106530.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.26767673138325276,0
17.0,100513.72,399996.0,1.0,26.0,0.0,0,0.2512868128681287,1007,2011,3,31,52286.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-1.0827601,2.725196,0.9714355,1,0.5569363069323665,1
67.0,100000.0,999996.0,1.0,25.0,2.0,3,0.1000004000016,1219,2010,8,31,50250.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.4144400027788065,1
12.0,100000.0,549996.0,6.0,52.0,0.0,0,0.1818195041418483,1527,2009,10,27,104468.0,0.10369337,-0.9288311,-0.015264446,-0.29536033,1.0824445,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,0,0.2742208058293829,0
17.0,120549.96,699996.0,2.0,46.0,1.0,3,0.172215212658358,558,2012,6,22,92552.0,-0.44509146,1.5352405,-0.8534257,-0.6122077,-0.4184213,-0.54616356,-0.21557568,0.7439208,0.82596856,-0.5151279,0,0.17338020416462385,0
75.0,103054.52,429996.0,1.0,28.0,0.0,1,0.2396639038502684,397,2012,11,30,56336.0,-1.3853498,0.17453381,-1.4956062,-0.6122077,-0.4184213,-0.54616356,-0.21557568,-2.023991,-1.4594462,0.6250562,0,0.05243915825601052,0
12.0,100000.0,649992.0,2.0,52.0,0.0,2,0.1538480473605829,672,2012,2,29,104624.0,0.10369337,-0.9288311,-0.015264446,-0.6122077,-0.4184213,0.45833537,0.9619635,-2.023991,-1.4594462,0.6250562,1,0.5118074766482792,1
