MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_MARITAL_STATUS,MEMBER_GENDER,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBERSHIP_PACKAGE,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,PAYMENT_MODE,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,DAYS_STAY,START_YEAR,START_MONTH,START_DAY,START_YEAR_AGE_COMBINED,TARGET
12.0,100000.0,Unknown,M,399996.0,1.0,TYPE-B,43.0,2.0,ANNUAL,1,0.25000250002500024,825,2011,9,29,86473.0,1
17.0,100514.23,M,F,549996.0,1.0,TYPE-A,40.0,2.0,ANNUAL,2,0.18275447457799693,1027,2011,3,11,80440.0,1
12.0,100000.8,M,M,1299996.0,1.0,TYPE-B,40.0,2.0,MONTHLY,0,0.07692392899670461,190,2013,6,25,80520.0,0
12.0,100000.99,M,M,500004.0,1.0,TYPE-B,50.0,3.0,ANNUAL,0,0.20000037999696005,1063,2011,2,3,100550.0,1
12.0,200001.6,Unknown,M,499992.0,2.0,TYPE-B,45.0,2.0,MONTHLY,1,0.4000096001536025,307,2013,2,28,90585.0,1
12.0,100000.8,M,M,298992.0,1.0,TYPE-B,45.0,3.0,MONTHLY,1,0.33445978487718736,1017,2011,3,21,90495.0,0
29.0,113125.0,M,M,25200000.0,1.0,TYPE-B,45.0,2.0,ANNUAL,0,0.004489087301587301,2666,2006,9,14,90270.0,0
12.0,144001.08,M,F,999996.0,2.0,TYPE-B,43.0,2.0,MONTHLY,0,0.144001656006624,187,2013,6,28,86559.0,0
17.0,180000.0,M,M,750000.0,1.0,TYPE-B,33.0,1.0,MONTHLY,1,0.24,2102,2008,3,31,66264.0,1
27.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,60.0,3.0,ANNUAL,0,0.1818195041418483,1307,2010,6,4,120600.0,0
12.0,100000.0,M,M,1299996.0,2.0,TYPE-B,37.0,2.0,ANNUAL,3,0.07692331361019572,701,2012,1,31,74444.0,1
42.0,100000.0,M,M,11127360.0,1.0,TYPE-B,53.0,2.0,ANNUAL,0,0.008986857619417364,1372,2010,3,31,106530.0,1
22.0,100000.0,M,M,800004.0,1.0,TYPE-B,40.0,2.0,ANNUAL,1,0.12499937500312498,1449,2010,1,13,80400.0,0
17.0,151999.93,Unknown,M,549996.0,6.0,TYPE-A,75.0,2.0,ANNUAL,1,0.2763655190219565,131,2013,8,23,150975.0,0
52.0,100000.0,M,F,549996.0,4.0,TYPE-B,43.0,1.0,ANNUAL,3,0.1818195041418483,1394,2010,3,9,86430.0,0
98.0,104045.93,Unknown,M,1099992.0,1.0,TYPE-A,36.0,0.0,ANNUAL,2,0.09458789700288729,276,2013,3,31,72468.0,0
17.0,206182.09,M,F,349992.0,2.0,TYPE-A,29.0,1.0,ANNUAL,1,0.5891051509748794,276,2013,3,31,58377.0,0
27.0,100000.0,S,M,499992.0,1.0,TYPE-B,25.0,0.0,SEMI-ANNUAL,3,0.2000032000512008,1336,2010,5,6,50250.0,0
57.0,100000.0,M,F,300000.0,1.0,TYPE-B,38.0,2.0,ANNUAL,1,0.3333333333333333,1406,2010,2,25,76380.0,0
26.0,100000.0,S,M,1500000.0,1.0,TYPE-B,58.0,0.0,ANNUAL,1,0.06666666666666667,1542,2009,10,12,116522.0,1
27.0,199999.43,M,F,600000.0,2.0,TYPE-A,45.0,3.0,ANNUAL,3,0.3333323833333333,793,2011,10,31,90495.0,0
27.0,400000.0,M,M,1250004.0,1.0,TYPE-B,48.0,1.0,SEMI-ANNUAL,3,0.3199989760032768,1219,2010,8,31,96480.0,0
27.0,500000.0,M,M,1200000.0,1.0,TYPE-B,67.0,3.0,ANNUAL,1,0.4166666666666667,1220,2010,8,30,134670.0,1
12.0,100000.8,M,F,600000.0,1.0,TYPE-B,37.0,3.0,MONTHLY,0,0.166668,397,2012,11,30,74444.0,0
12.0,120003.36,M,F,600000.0,1.0,TYPE-B,57.0,1.0,MONTHLY,1,0.2000056,1020,2011,3,18,114627.0,0
53.0,100000.0,M,M,999996.0,1.0,TYPE-B,42.0,3.0,ANNUAL,3,0.1000004000016,1274,2010,7,7,84420.0,1
12.0,100000.0,Unknown,M,549996.0,1.0,TYPE-B,13.0,0.0,ANNUAL,0,0.1818195041418483,987,2011,4,20,26143.0,1
12.0,100000.0,M,M,379992.0,2.0,TYPE-B,42.0,3.0,ANNUAL,0,0.26316343501968464,307,2013,2,28,84546.0,0
12.0,100000.0,M,M,500004.0,1.0,TYPE-B,53.0,3.0,SEMI-ANNUAL,0,0.1999984000127999,1259,2010,7,22,106530.0,0
34.0,119945.04,M,M,600000.0,1.0,TYPE-B,45.0,2.0,MONTHLY,0,0.19990839999999999,1580,2009,9,4,90405.0,0
25.0,100000.0,M,M,900000.0,1.0,TYPE-B,59.0,2.0,SEMI-ANNUAL,3,0.1111111111111111,1835,2008,12,23,118472.0,0
12.0,150000.0,S,M,300000.0,1.0,TYPE-B,19.0,0.0,ANNUAL,2,0.5,1728,2009,4,9,38171.0,0
17.0,149988.23,M,M,549996.0,6.0,TYPE-A,64.0,1.0,ANNUAL,3,0.272707856057135,307,2013,2,28,128832.0,0
12.0,200000.0,M,M,1399992.0,1.0,TYPE-B,35.0,1.0,ANNUAL,2,0.1428579591883382,650,2012,3,22,70420.0,1
27.0,100000.0,Unknown,Unknown,549996.0,6.0,TYPE-B,62.0,0.0,SEMI-ANNUAL,2,0.1818195041418483,1223,2010,8,27,124620.0,1
22.0,175000.0,S,F,720000.0,1.0,TYPE-B,41.0,0.0,ANNUAL,0,0.24305555555555555,1717,2009,4,20,82369.0,0
12.0,100000.0,M,M,399996.0,1.0,TYPE-B,38.0,2.0,ANNUAL,1,0.25000250002500024,1352,2010,4,20,76380.0,0
92.0,103731.6,Unknown,M,300000.0,2.0,TYPE-A,46.0,0.0,MONTHLY,0,0.345772,793,2011,10,31,92506.0,0
27.0,100000.0,M,M,249996.0,1.0,TYPE-B,48.0,2.0,ANNUAL,1,0.4000064001024016,1919,2008,9,30,96384.0,1
38.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,62.0,3.0,SEMI-ANNUAL,2,0.1818195041418483,1223,2010,8,27,124620.0,0
39.0,400000.0,M,M,1380996.0,1.0,TYPE-B,55.0,3.0,ANNUAL,3,0.2896460235945651,1311,2010,5,31,110550.0,1
17.0,100000.0,M,M,420000.0,1.0,TYPE-B,34.0,2.0,ANNUAL,1,0.23809523809523808,2115,2008,3,18,68272.0,0
22.0,100000.0,M,M,1299996.0,1.0,TYPE-B,62.0,3.0,ANNUAL,0,0.07692331361019572,1611,2009,8,4,124558.0,0
52.0,100512.04,M,M,500004.0,1.0,TYPE-A,53.0,1.0,SEMI-ANNUAL,1,0.20102247182022542,1056,2011,2,10,106583.0,1
12.0,120000.96,M,M,450000.0,1.0,TYPE-B,35.0,2.0,MONTHLY,2,0.26666880000000004,978,2011,4,29,70385.0,1
12.0,200000.0,M,M,849996.0,1.0,TYPE-B,49.0,3.0,QUARTERLY,1,0.2352952249187055,1597,2009,8,18,98441.0,1
12.0,100000.0,M,M,500004.0,1.0,TYPE-B,41.0,2.0,ANNUAL,1,0.1999984000127999,1587,2009,8,28,82369.0,1
22.0,123704.64,Unknown,M,849996.0,1.0,TYPE-A,47.0,0.0,MONTHLY,3,0.14553555546143745,35,2013,11,27,94611.0,0
22.0,100000.0,M,M,600000.0,1.0,TYPE-B,40.0,2.0,ANNUAL,0,0.16666666666666666,1454,2010,1,8,80400.0,0
17.0,131990.28,M,M,399996.0,2.0,TYPE-A,53.0,1.0,MONTHLY,3,0.3299789997899979,287,2013,3,20,106689.0,0
17.0,101363.28,M,M,499992.0,1.0,TYPE-A,56.0,1.0,MONTHLY,3,0.20272980367685883,254,2013,4,22,112728.0,0
12.0,200001.0,Unknown,M,549996.0,1.0,TYPE-B,50.0,0.0,ANNUAL,2,0.363640826478738,1135,2010,11,23,100500.0,0
17.0,100000.8,M,F,399996.0,1.0,TYPE-B,54.0,2.0,MONTHLY,2,0.25000450004500047,1405,2010,2,26,108540.0,0
101.0,233154.49,Unknown,M,2460000.0,1.0,TYPE-A,33.0,0.0,ANNUAL,1,0.09477824796747968,926,2011,6,20,66363.0,1
41.0,105000.0,M,M,350004.0,1.0,TYPE-B,53.0,1.0,ANNUAL,1,0.29999657146775466,1219,2010,8,31,106530.0,0
17.0,100000.0,M,M,450000.0,1.0,TYPE-B,56.0,3.0,SEMI-ANNUAL,0,0.2222222222222222,1743,2009,3,25,112504.0,0
70.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,55.0,0.0,ANNUAL,1,0.1818195041418483,1433,2010,1,29,110550.0,0
12.0,150000.0,Unknown,F,549996.0,1.0,TYPE-B,43.0,0.0,ANNUAL,3,0.27272925621277244,1048,2011,2,18,86473.0,1
17.0,100000.0,Unknown,Unknown,549996.0,1.0,TYPE-B,51.0,0.0,SEMI-ANNUAL,0,0.1818195041418483,2198,2007,12,26,102357.0,1
27.0,100000.0,M,M,1100004.0,1.0,TYPE-B,30.0,1.0,ANNUAL,1,0.09090876033178061,1337,2010,5,5,60300.0,0
12.0,125000.0,M,M,300000.0,5.0,TYPE-B,35.0,2.0,ANNUAL,0,0.4166666666666667,1505,2009,11,18,70315.0,0
93.0,102999.94,Unknown,M,600000.0,1.0,TYPE-A,49.0,0.0,ANNUAL,0,0.17166656666666666,215,2013,5,31,98637.0,0
17.0,104187.88,W,F,249996.0,2.0,TYPE-A,58.0,0.0,ANNUAL,3,0.4167581881310101,51,2013,11,11,116754.0,0
37.0,100001.0,M,M,500004.0,1.0,TYPE-B,58.0,2.0,ANNUAL,2,0.20000039999680003,1434,2010,1,28,116580.0,0
12.0,119999.88,M,F,549996.0,4.0,TYPE-B,52.0,2.0,MONTHLY,0,0.218183186786813,1923,2008,9,26,104416.0,1
17.0,106863.0,S,M,399996.0,5.0,TYPE-B,41.0,0.0,ANNUAL,1,0.267160171601716,1678,2009,5,29,82369.0,0
37.0,1000000.0,M,M,9999996.0,1.0,TYPE-B,58.0,2.0,ANNUAL,1,0.100000040000016,1409,2010,2,22,116580.0,0
17.0,100026.83,M,M,450000.0,1.0,TYPE-A,47.0,3.0,ANNUAL,0,0.22228184444444446,916,2011,6,30,94517.0,1
26.0,187500.0,M,M,999996.0,1.0,TYPE-B,68.0,2.0,ANNUAL,1,0.187500750003,1219,2010,8,31,136680.0,0
12.0,120000.96,M,F,3268800.0,1.0,TYPE-B,45.0,2.0,MONTHLY,1,0.03671101321585903,215,2013,5,31,90585.0,0
12.0,250000.0,Unknown,M,3600000.0,2.0,TYPE-B,52.0,0.0,ANNUAL,0,0.06944444444444445,387,2012,12,10,104624.0,0
42.0,100000.0,W,F,200004.0,1.0,TYPE-B,42.0,0.0,ANNUAL,3,0.499990000199996,1513,2009,11,10,84378.0,0
17.0,100000.0,M,M,549996.0,1.0,TYPE-B,34.0,3.0,ANNUAL,3,0.1818195041418483,1646,2009,6,30,68306.0,0
22.0,120000.96,S,M,560004.0,5.0,TYPE-B,35.0,0.0,MONTHLY,1,0.21428589795787173,1416,2010,2,15,70350.0,0
12.0,230000.0,M,M,300000.0,1.0,TYPE-B,41.0,2.0,ANNUAL,1,0.7666666666666667,642,2012,3,30,82492.0,1
22.0,123714.36,M,M,600000.0,1.0,TYPE-A,51.0,2.0,MONTHLY,1,0.2061906,187,2013,6,28,102663.0,0
17.0,300002.23,Unknown,M,999996.0,2.0,TYPE-A,6.0,1.0,ANNUAL,2,0.30000343001372004,276,2013,3,31,12078.0,0
23.0,100000.0,M,F,2205444.0,1.0,TYPE-B,72.0,2.0,ANNUAL,2,0.045342343763886093,1433,2010,1,29,144720.0,0
32.0,103090.01,Unknown,M,399996.0,2.0,TYPE-A,36.0,0.0,ANNUAL,1,0.25772760227602276,104,2013,9,19,72468.0,0
49.0,100000.0,M,M,600000.0,1.0,TYPE-B,35.0,1.0,ANNUAL,1,0.16666666666666666,2011,2008,6,30,70280.0,0
41.0,250000.0,M,M,999996.0,1.0,TYPE-B,54.0,2.0,ANNUAL,3,0.250001000004,1405,2010,2,26,108540.0,0
17.0,125449.32,M,M,999996.0,1.0,TYPE-A,51.0,2.0,MONTHLY,3,0.1254498217992872,276,2013,3,31,102663.0,0
27.0,100000.0,M,M,600000.0,1.0,TYPE-B,44.0,3.0,SEMI-ANNUAL,1,0.16666666666666666,1575,2009,9,9,88396.0,0
17.0,1844706.0,M,M,30999996.0,1.0,TYPE-A,46.0,2.0,MONTHLY,3,0.05950665283956811,49,2013,11,13,92598.0,0
