MEMBERSHIP_TERM_YEARS,ANNUAL_FEES,MEMBER_ANNUAL_INCOME,MEMBER_OCCUPATION_CD,MEMBER_AGE_AT_ISSUE,ADDITIONAL_MEMBERS,AGENT_PERFORMANCE,INCOME_TO_FEE_RATIO,START_YEAR,START_MONTH,START_DAY,MEMBER_MARITAL_STATUS_D,MEMBER_MARITAL_STATUS_M,MEMBER_MARITAL_STATUS_S,MEMBER_MARITAL_STATUS_Unknown,MEMBER_MARITAL_STATUS_W,MEMBER_GENDER_F,MEMBER_GENDER_M,MEMBER_GENDER_Unknown,MEMBERSHIP_PACKAGE_TYPE-A,MEMBERSHIP_PACKAGE_TYPE-B,PAYMENT_MODE_ANNUAL,PAYMENT_MODE_MONTHLY,PAYMENT_MODE_QUARTERLY,PAYMENT_MODE_SEMI-ANNUAL,PAYMENT_MODE_SINGLE-PREMIUM
78.0,101515.2,549996.0,1.0,59.0,0.0,2,0.1845744332686056,2011,5,12,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
12.0,120000.0,499992.0,1.0,76.0,0.0,3,0.240003840061441,2011,6,13,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
12.0,100000.0,999996.0,1.0,45.0,3.0,0,0.1000004000016,2011,2,25,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
68.0,100514.82,1299996.0,1.0,36.0,1.0,3,0.07731933021332374,2011,3,31,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
49.0,100000.0,699996.0,1.0,45.0,3.0,0,0.1428579591883382,2010,8,30,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
87.0,141052.76,175548.0,2.0,45.0,0.0,2,0.8034996696060337,2012,12,27,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
22.0,103090.0,399996.0,2.0,44.0,3.0,0,0.2577275772757728,2013,9,27,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
30.0,100000.0,549996.0,1.0,55.0,2.0,0,0.1818195041418483,2009,7,22,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,100000.0,120000.0,1.0,47.0,2.0,0,0.8333333333333334,2009,3,31,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
12.0,100000.8,600000.0,2.0,34.0,1.0,0,0.166668,2012,8,27,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
27.0,100000.02,399996.0,1.0,53.0,0.0,0,0.25000255002550026,2012,11,30,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
17.0,100000.0,549996.0,1.0,38.0,0.0,0,0.1818195041418483,2008,5,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
19.0,100000.0,549996.0,6.0,76.0,1.0,2,0.1818195041418483,2010,2,25,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
22.0,101201.45,800004.0,1.0,52.0,2.0,0,0.12650117999410002,2008,8,22,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
56.0,319565.33,2199996.0,1.0,49.0,1.0,2,0.1452572322858769,2013,1,16,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
38.0,100000.8,699996.0,1.0,46.0,1.0,1,0.14285910205201172,2008,9,26,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
27.0,199999.0,900000.0,1.0,40.0,1.0,0,0.22222111111111112,2010,3,26,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
49.0,199999.0,5000004.0,1.0,36.0,1.0,1,0.0399997680001856,2008,2,29,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
12.0,100000.0,300000.0,2.0,51.0,0.0,1,0.3333333333333333,2013,1,28,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
12.0,100000.0,289992.0,1.0,38.0,1.0,1,0.3448370989544539,2012,3,30,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
54.0,1000000.0,2300004.0,1.0,41.0,3.0,3,0.43478185255329993,2010,3,12,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
50.0,139999.57,199992.0,1.0,55.0,2.0,2,0.7000258510340414,2013,1,29,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
12.0,1000000.0,3235752.0,2.0,55.0,1.0,1,0.3090471704877259,2013,3,30,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,125465.64,249996.0,2.0,53.0,1.0,3,0.5018705899294389,2013,3,18,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
31.0,100000.0,399996.0,1.0,63.0,2.0,2,0.25000250002500024,2010,8,17,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,190067.64,499992.0,1.0,23.0,0.0,3,0.38014136226179623,2013,2,28,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
50.0,100000.0,399996.0,1.0,44.0,1.0,0,0.25000250002500024,2010,6,28,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
44.0,500000.0,999996.0,1.0,50.0,0.0,2,0.500002000008,2010,8,25,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
22.0,200000.0,999996.0,1.0,62.0,1.0,3,0.2000008000032,2009,11,12,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0
71.0,100000.0,549996.0,1.0,60.0,0.0,2,0.1818195041418483,2010,8,30,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
17.0,124117.44,300000.0,1.0,51.0,3.0,3,0.4137248,2012,7,30,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
27.0,100000.0,399996.0,1.0,38.0,3.0,1,0.25000250002500024,2010,2,15,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
59.0,104799.6,594996.0,1.0,45.0,1.0,2,0.1761349656132142,2010,12,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
12.0,500000.0,1500000.0,2.0,61.0,0.0,1,0.3333333333333333,2012,5,30,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
17.0,261116.88,1999992.0,1.0,57.0,1.0,3,0.13055896223584895,2012,12,31,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
17.0,160001.06,1500000.0,1.0,58.0,1.0,3,0.10666737333333333,2013,1,24,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
17.0,104401.56,549996.0,4.0,64.0,3.0,3,0.18982239870835424,2013,3,11,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
20.0,112500.0,1500000.0,1.0,65.0,3.0,0,0.075,2009,7,21,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,100514.06,549996.0,1.0,65.0,0.0,1,0.1827541654848399,2010,11,22,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
44.0,200000.0,474996.0,1.0,51.0,3.0,1,0.4210561773151774,2010,3,31,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
29.0,120000.0,300000.0,1.0,56.0,1.0,1,0.4,2008,1,30,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
27.0,151000.16,499992.0,2.0,51.0,0.0,3,0.30200515208243334,2013,7,29,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0
37.0,150000.0,549996.0,4.0,58.0,3.0,1,0.27272925621277244,2010,3,25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
12.0,499000.04,414396.0,1.0,49.0,2.0,2,1.2041622988638887,2011,12,30,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
27.0,100000.0,300000.0,1.0,58.0,2.0,0,0.3333333333333333,2009,1,29,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12.0,100000.0,500004.0,1.0,60.0,0.0,1,0.1999984000127999,2010,5,14,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0
102.0,205317.26,999996.0,2.0,27.0,0.0,0,0.2053180812723251,2012,7,23,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0
12.0,100000.0,200004.0,1.0,20.0,0.0,1,0.499990000199996,2009,3,31,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
27.0,107098.66,499992.0,2.0,39.0,2.0,0,0.2142007472119554,2013,3,25,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
30.0,504004.08,3000000.0,1.0,55.0,1.0,3,0.16800136000000002,2009,3,19,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
32.0,120000.0,399996.0,1.0,62.0,3.0,1,0.3000030000300003,2010,3,19,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
49.0,100000.0,3999996.0,1.0,45.0,3.0,1,0.025000025000025,2010,7,30,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
12.0,100000.0,999996.0,5.0,56.0,1.0,0,0.1000004000016,2008,12,18,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
17.0,118196.68,1200000.0,2.0,79.0,2.0,2,0.09849723333333332,2012,10,22,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0
21.0,500000.0,2499996.0,1.0,74.0,2.0,2,0.200000320000512,2010,4,13,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0
19.0,150000.0,549996.0,6.0,75.0,0.0,3,0.27272925621277244,2010,8,27,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
63.0,101003.5,1774512.0,2.0,41.0,1.0,2,0.056919029006284545,2013,11,28,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
12.0,100000.0,750000.0,1.0,38.0,3.0,1,0.13333333333333333,2010,11,23,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
17.0,132503.64,499992.0,2.0,60.0,1.0,1,0.265011520184323,2013,1,21,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
12.0,100000.0,549996.0,1.0,75.0,0.0,0,0.1818195041418483,2008,12,29,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
